Intel® Core™ i7-4600U CPU @ 2.10GHz × 4
Using 2GB RAM

depth|       Positions        |correct|       Time       |       N/s       
-----+------------------------+-------+------------------+-----------------
   0 |                      1 |  true |            0.000 |                
   1 |                      4 |  true |            0.000 |                
   2 |                     12 |  true |            0.000 |                
   3 |                     56 |  true |            0.000 |                
   4 |                    244 |  true |            0.000 |                
   5 |                  1'396 |  true |            0.000 |                
   6 |                  8'200 |  true |            0.000 |                
   7 |                 55'092 |  true |            0.000 |                
   8 |                390'216 |  true |            0.001 |     390'216'000
   9 |              3'005'288 |  true |            0.008 |     375'661'000
  10 |             24'571'056 |  true |            0.060 |     409'517'000
  11 |            212'258'216 |  true |            0.329 |     645'161'000
  12 |          1'939'879'668 |  true |            0.595 |   3'260'301'000
  13 |         18'429'618'408 |  true |            3.102 |   5'941'205'000
  14 |        184'041'761'768 |  true |           23.677 |   7'773'018'000
  15 |      1'891'831'332'208 |  true |         3:34.735 |   8'810'074'000

Intel® Core™ i7-4770K CPU @ 4.20GHz x 4 HT
perft_haswell.exe -RAM 26GB
depth|       Positions        |correct|       Time       |       N/s
-----+------------------------+-------+------------------+-----------------
   0 |                      1 |  true |            0.000 |
   1 |                      4 |  true |            0.000 |
   2 |                     12 |  true |            0.000 |
   3 |                     56 |  true |            0.000 |
   4 |                    244 |  true |            0.000 |
   5 |                  1'396 |  true |            0.000 |
   6 |                  8'200 |  true |            0.000 |
   7 |                 55'092 |  true |            0.000 |
   8 |                390'216 |  true |            0.001 |     390'216'000
   9 |              3'005'288 |  true |            0.007 |     429'326'000
  10 |             24'571'056 |  true |            0.055 |     446'746'000
  11 |            212'258'216 |  true |            0.447 |     474'850'000
  12 |          1'939'879'668 |  true |           28.879 |      67'172'000
  13 |         18'429'618'408 |  true |           29.460 |     625'581'000
  14 |        184'041'761'768 |  true |           37.837 |   4'864'068'000
  15 |      1'891'831'332'208 |  true |         1:40.697 |  18'787'365'000
  16 |     20'301'171'282'452 |  true |        10:31.623 |  32'141'279'000
  17 |    222'742'563'853'912 |  true |      1:40:45.967 |  36'841'511'000
  18 |  2'534'535'926'617'852 |  true |     17:51:33.000 |  39'421'646'000
